中国科学技术大学出版社 安微 7321
大众文艺出版社 北京 780240
当代世界出版社 北京 75090
当代世界出版社 北京 780115
当代中国出版社 北京 780092
当代中国出版社 北京 780170
当代中国音像出版社 北京 79001
当代中国音像出版社 北京 7900106
当代中国音像出版社 北京 7900108
当代中国音像出版社 北京 7900843
档案出版社 北京 780019
党建读物出版社 北京 75099
党建读物出版社 北京 780098
地图出版社 北京 75031
地震出版社 北京 75028
地震出版社 北京 75208
地质出版社 北京 7116
地质出版社 北京 7900200
电脑爱好者杂志社 北京 7900093
电子工业出版社 北京 7121
电子工业出版社 北京 71210
电子工业出版社 北京 75053
电子工业出版社 北京 789496
电子工业出版社 北京 7900016
电子工业出版社 北京 7900029
电子工业出版社 北京 7900030
电子工业出版社 北京 7900052
电子工业出版社 北京 7900065
电子工业出版社 北京 7900074
电子工业出版社 北京 7900080
电子工业出版社 北京 7900100
电子工业出版社 北京 7900121
东北林业大学出版社 北京 781131
东方出版社 北京 75060
东方音像电子出版社 北京 788752
对外经济贸易大学出版社 北京 771078
对外经济贸易大学出版社 北京 781000
对外经济贸易大学出版社 北京 781078
对外经济贸易大学出版社 北京 781134
对外贸易教育出版社 北京 731000
峨眉电影制片厂音像出版社 北京 788588
二十一世纪出版社 北京 71005
法律出版社 北京 75036
法律出版社 北京 75118
法律出版社 北京 788063
法律出版社 北京 790182
方圆电子音像出版社 北京 788823
方圆电子音像出版社 北京 7900128
方圆电子音像出版社 北京 7900405
方志出版社 北京 780238
改革出版社 北京 780072
改革出版社 北京 780143
高等教育出版社 北京 704
高等教育出版社 北京 7040
高等教育出版社 北京 70401
高等教育出版社 北京 7900064
高等教育出版社 北京 7900076
高等教育出版社 北京 7900090
高等教育电子音像出版社 北京 788701
工商出版社 北京 780012
公安部华盛音像出版社 北京 788057
光明日报出版社 北京 75112
光明日报出版社 北京 780014
光明日报出版社 北京 780091
光明日报出版社 北京 780145
光明日报出版社 北京 780206
光明日报出版社 北京 780415
光明日报出版社 北京 7900007
光明日报出版社 北京 7900134
贵州大学出版社 北京 781126
国防大学出版社 北京 75626
国防大学出版社 北京 75656
国防大学出版社 北京 75926
国防工业出版社 北京 7118
国防工业出版社 北京 711804
国际华文出版社 北京 764411
国际文化出版公司 北京 780049
国际文化出版公司 北京 780105
国际文化出版公司 北京 780173
国际文化交流音像出版社 北京 77996
国际文化交流音像出版社 北京 779960
国家行政学院出版社 北京 780140
国家行政学院音像出版社 北京 788066
国家行政学院音像出版社 北京 7900210
国家知识产权局知识产权出版社 北京 780198
海潮出版社 北京 780054
海潮出版社 北京 780151
海潮出版社 北京 780213
海军出版社 北京 75070
海豚出版社 北京 780051
海洋出版社 北京 75027
海洋出版社 北京 7900204
航空工业出版社 北京 730046
航空工业出版社 北京 780046
航空工业出版社 北京 780134
航空工业出版社 北京 780183
航空工业出版社 北京 780183
航空工业出版社 北京 780243
航空工业出版社 北京 7900206
黑龙江文化电子音像出版社 北京 7900403
红旗出版社 北京 75051
红旗出版社 北京 780068
红旗出版社 北京 7900151
红旗出版社 北京 7980000
华东师范大学出版社 北京 790068
华龄出版社 北京 780082
华龄出版社 北京 780178
华文出版社 北京 75075
华文出版社 北京 75575
华夏出版社 北京 75080
华夏出版社 北京 780053
华艺出版公司 北京 725020
华艺出版社 北京 780039
华艺出版社 北京 780142
华艺出版社 北京 780252
华语教学出版社 北京 780052
华语教学出版社 北京 780200
化学工业出版社 北京 7122
化学工业出版社 北京 71220
化学工业出版社 北京 75025
化学工业出版社 北京 7900231
化学工业出版社 北京 7900239
环境科学出版社 北京 780135
机械工业出版社 北京 7111
机械工业出版社 北京 71111
机械工业出版社 北京 788709
机械工业出版社 北京 789492
机械工业出版社 北京 7900043
机械工业出版社 北京 7900066
机械工业出版社 北京 7900094
机械工业出版社 北京 7900119
机械工业出版社 北京 7980037
机械工业出版社 北京 7980039
教育部电化教育音像出版社 北京 788011
教育科学出版社 北京 75041
接力出版社 北京 780732
解放军出版社 北京 75065
解放军文艺出版社 北京 75033
今日中国出版社 北京 75072
今日中国出版社 北京 75272
金版电子出版公司 北京 7900036
金版电子出版公司 北京 7900131
金版电子出版公司 北京 7900145
金版电子出版公司 北京 7901100
金版电子出版社 北京 7900183
金版电子出版社 北京 7900223
金报电子出版社 北京 7900148
金报电子出版中心 北京 7900019
金城出版社 北京 780084
金城出版社 北京 780251
金盾出版社 北京 75082
金盾出版社 北京 780022
金盾音像出版社 北京 788748
金牌电子出版公司 北京 7900137
京华出版社 北京 780600
京华出版社 北京 780724
经济管理出版社 北京 75096
经济管理出版社 北京 780025
